0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:57:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2025:09:57:16 +0530] "POST /kunto/viewPost HTTP/1.1" 200 12
127.0.0.1 - - [10/Mar/2025:09:57:51 +0530] "HEAD / HTTP/1.1" 404 -
127.0.0.1 - - [10/Mar/2025:09:57:52 +0530] "HEAD / HTTP/1.1" 404 -
127.0.0.1 - - [10/Mar/2025:09:57:52 +0530] "HEAD /docs HTTP/1.1" 404 -
127.0.0.1 - - [10/Mar/2025:09:57:52 +0530] "HEAD / HTTP/1.1" 404 -
127.0.0.1 - - [10/Mar/2025:09:57:53 +0530] "HEAD / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/kunto.html HTTP/1.1" 200 225011
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/community.css HTTP/1.1" 200 48672
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/dashboard.css HTTP/1.1" 200 28900
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/bar.css HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/calender.css HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/CalorieCircle.css HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/nutrition.css HTTP/1.1" 200 19121
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/popup.css HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/activity.css HTTP/1.1" 200 8338
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/images/chat-bot-icon-virtual-smart-600nw-2478937555.webp HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/workout.css HTTP/1.1" 200 25708
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/css/controls.css HTTP/1.1" 200 17286
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/uploads/group_dp1.jpg HTTP/1.1" 200 18570
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/uploads/group_dp2.jpg HTTP/1.1" 200 20321
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/uploads/group_db3.webp HTTP/1.1" 200 32352
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/js/WORKOUTS.js HTTP/1.1" 200 27857
0:0:0:0:0:0:0:1 - - [10/Mar/2025:10:01:32 +0530] "GET /kunto/js/dashboard.js HTTP/1.1" 200 23058
